unique_id,model,scenario,climatology,start_date,end_date,variable,region,timescale,timeidx,timestamp,op,modtime,min,max,mean,median,stdev,ncells,units,access_time
fdETCCDI_aClimMean_BCCAQ_CCSM4_historical-rcp45_r2i1p1_20400101-20691231,CCSM4,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:06Z,3.1666667461395264,269.79998779296875,75.61581027667984,0.0,73.06612951728047,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CCSM4_historical-rcp45_r2i1p1_20700101-20991231,CCSM4,"historical, rcp45",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:06Z,1.8666666746139526,264.26666259765625,70.05360054347825,0.0,71.69025239455806,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CCSM4_historical-rcp85_r2i1p1_20100101-20391231,CCSM4,"historical, rcp85",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:07Z,5.4666666984558105,283.8333435058594,95.90584856719367,0.0,73.93748563058776,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CCSM4_historical-rcp85_r2i1p1_20400101-20691231,CCSM4,"historical, rcp85",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:07Z,3.299999952316284,258.23333740234375,74.66142539525691,0.0,69.3993927724163,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CCSM4_historical-rcp85_r2i1p1_20700101-20991231,CCSM4,"historical, rcp85",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:07Z,1.399999976158142,233.0,48.72107522233202,0.0,64.32781855071401,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CNRM-CM5_historical-rcp45_r1i1p1_20100101-20391231,CNRM-CM5,"historical, rcp45",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:08Z,7.133333206176758,279.5333251953125,92.1459300889328,0.0,71.43686025709376,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CNRM-CM5_historical-rcp45_r1i1p1_20400101-20691231,CNRM-CM5,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:08Z,1.7999999523162842,266.0333251953125,76.87830410079052,0.0,72.27680693981814,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CNRM-CM5_historical-rcp45_r1i1p1_20700101-20991231,CNRM-CM5,"historical, rcp45",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:08Z,1.2999999523162842,259.1666564941406,71.69517663043479,0.0,71.42915457634764,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CNRM-CM5_historical-rcp85_r1i1p1_20100101-20391231,CNRM-CM5,"historical, rcp85",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:09Z,5.166666507720947,273.3333435058594,86.95681818181818,0.0,71.26296026344487,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CNRM-CM5_historical-rcp85_r1i1p1_20400101-20691231,CNRM-CM5,"historical, rcp85",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:09Z,2.5999999046325684,260.0,75.1714365118577,0.0,69.4248507599465,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CNRM-CM5_historical-rcp85_r1i1p1_20700101-20991231,CNRM-CM5,"historical, rcp85",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:09Z,0.800000011920929,234.8000030517578,48.97299283596838,0.0,63.043506439248105,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CSIRO-Mk3-6-0_historical-rcp45_r1i1p1_20100101-20391231,CSIRO-Mk3-6-0,"historical, rcp45",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:10Z,9.633333206176758,298.6666564941406,106.51436511857708,0.0,73.0606274065717,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CSIRO-Mk3-6-0_historical-rcp45_r1i1p1_20400101-20691231,CSIRO-Mk3-6-0,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:10Z,2.4666666984558105,270.1666564941406,75.08795701581028,0.0,71.47159423741472,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CSIRO-Mk3-6-0_historical-rcp45_r1i1p1_20700101-20991231,CSIRO-Mk3-6-0,"historical, rcp45",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:10Z,1.9333332777023315,261.0666809082031,67.55172924901186,0.0,68.12612166763992,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CSIRO-Mk3-6-0_historical-rcp85_r1i1p1_20100101-20391231,CSIRO-Mk3-6-0,"historical, rcp85",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:11Z,6.5333333015441895,293.0333251953125,97.53763586956522,0.0,75.3024062821946,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CSIRO-Mk3-6-0_historical-rcp85_r1i1p1_20400101-20691231,CSIRO-Mk3-6-0,"historical, rcp85",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:11Z,2.4666666984558105,263.73333740234375,74.11836709486165,0.0,68.24756248553633,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_CSIRO-Mk3-6-0_historical-rcp85_r1i1p1_20700101-20991231,CSIRO-Mk3-6-0,"historical, rcp85",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:11Z,0.13333334028720856,236.39999389648438,47.54927433300395,0.0,62.05388869081943,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_GFDL-ESM2G_historical-rcp45_r1i1p1_20100101-20391231,GFDL-ESM2G,"historical, rcp45",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:12Z,4.766666889190674,294.8999938964844,92.8642168972332,0.0,76.66086743545377,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_GFDL-ESM2G_historical-rcp45_r1i1p1_20400101-20691231,GFDL-ESM2G,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:12Z,4.5,280.6666564941406,73.51296319169961,0.0,75.60288949381247,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_GFDL-ESM2G_historical-rcp45_r1i1p1_20700101-20991231,GFDL-ESM2G,"historical, rcp45",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:12Z,1.3666666746139526,271.3333435058594,68.25710227272727,0.0,73.46238456501673,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_GFDL-ESM2G_historical-rcp85_r1i1p1_20100101-20391231,GFDL-ESM2G,"historical, rcp85",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:12Z,6.4666666984558105,287.26666259765625,89.92553730237154,0.0,73.81914619818895,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_GFDL-ESM2G_historical-rcp85_r1i1p1_20400101-20691231,GFDL-ESM2G,"historical, rcp85",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:13Z,2.633333444595337,270.6666564941406,68.1662425889328,0.0,74.18629798311686,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_GFDL-ESM2G_historical-rcp85_r1i1p1_20700101-20991231,GFDL-ESM2G,"historical, rcp85",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:13Z,0.8333333134651184,240.60000610351562,46.29528162055336,0.0,63.22143270131701,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-CC_historical-rcp45_r1i1p1_20100101-20391230,HadGEM2-CC,"historical, rcp45",2020,2010-01-01T00:00:00Z,2039-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:13Z,6.866666793823242,282.5333251953125,95.8610486660079,0.0,71.17653008069391,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-CC_historical-rcp45_r1i1p1_20400101-20691230,HadGEM2-CC,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:13Z,3.5,264.23333740234375,73.84710968379447,0.0,70.97753373047568,1265,days,2020-03-17
